Source: Keine befreiende Novelle für Tymoshenko durch das Parlament|Result: no <unk> amendment to the european parliament 's legislative proposals <eos>|Target: Parliament Does Not Support Amendment Freeing Tymoshenko
Source: Auch Frauen sollten Gedanken an Emanzipation schnellstens vergessen, eventuelle Glaubensabtrünnige werden hingerichtet, und so weiter.|Result: women should also forget about emancipation as soon as possible , possible <unk> are executed , and so on . <eos>|Target: Women can forget about emancipation; potential religious renegades will be executed; etc.
Source: Statt eines einzigen Diktators wird die Gesellschaft aus sich gegenseitig befehdenden Stämmen künftig vom Koran geeint.|Result: instead of a single dictator , the society will , in future , be united by the koran . <eos>|Target: Instead of a dictator, a society consisting of competing tribes will be united by Koran.
Source: Kurzum - in Libyen wird eine Ordnung herrschen, die hierzulande kaum vorstellbar und vor allem kaum wünschenswert wäre.|Result: in short , in libya , there will be a order that would hardly be imaginable and , above all , hardly desirable . <eos> <eos>|Target: Libya will be in an order we cannot imagine and surely would not ask for.
Source: Nur - unser Lebensstil ist nun mal nicht der einzige und objektiv gesehen wohl auch nicht der beste und würde Abwechslung den erwähnten Libyern kaum passen.|Result: only - our lifestyle is now not the only and objectively seen , nor is it the best and would hardly fit the mentioned <unk> . <eos>|Target: However, our lifestyle is neither unique nor the best one and would not, most probably, be suitable for, for example, the people of Libya.
Source: So gesehen ist es eher befremdend, dass sich die Moslem-Kämpfer überhaupt von den ungläubigen Hunden helfen ließen.|Result: in this respect , it is more <unk> that the <unk> could help themselves even by the <unk> dogs . <eos>|Target: In fact, it is a wonder that the Islamic fighters accepted help from the nonbelievers.
Source: Zu ihrer Entschuldigung mag wohl nur die Tatsache dienen, dass die Luftangriffe der NATO nicht von irgendeinem General aus Amerika, sondern von Allah selbst geleitet wurden, dessen Allmacht nach jedem erfolgreichen Treffer gepriesen wurde.|Result: for their apology , it may only serve the fact that nato ’s air strikes were not led by any general of america , but by allah himself , whose <unk> was praised after every successful strike . <eos>|Target: Their only excuse is that from their point of view, NATO raids were not controlled by an American general, but Allah, the greatness of whom they celebrated with each strike.
Source: Die Sieger in Libyen? Der Westen gehört nicht dazu.|Result: the winner in libya is not one of them . <eos>|Target: When winners are sought for in Libya, the West is not on the list.
Source: Wir nahmen nur an einem Schusswechsel teil, dienten den Interessen des Islams und unsere Politiker entledigten sich in der Person des Diktators eines politischen Verbündeten, ohne dass dies irgendeinen Vorteil gebracht hätte.|Result: we only took part in a <unk> , served the interests of islam and our politicians <unk> in the person of the dictator of a political ally , without any benefit . <eos>|Target: We participated in a shooting, served Islam, and our politicians got rid of a dictator, their political ally, without any guarantee of profit.
Source: Nach den frischen und schlechten Erfahrungen aus Afghanistan und dem Irak sahen wir lieber von einer militärischen Besetzung Libyens ab.|Result: following the fresh and bad experiences of afghanistan and iraq , we preferred to see libya 's military occupation . <eos>|Target: Given the recent bad experience from Afghanistan and Iraq, we decided against military occupation of Libya.
Source: Dadurch sind die Hiesigen eine Sorge los - nämlich die Vertreibung der Kreuzfahrer.|Result: this is the cause of concern to local people - the expulsion of the <unk> . <eos>|Target: The locals thus do not have to worry about expelling of the "crusaders."
Source: Bekommen die Mineralölunternehmen aber auch ohne Okkupation das schwarze Gold zum Spottpreis?|Result: do the <unk> get the black gold to <unk> without occupation ? <eos>|Target: Without the occupation, will the oil companies get Libya's black gold for next to nothing, though?
Source: Wohl kaum und so kann sich der Westen endlich einmal mit Recht seiner Selbstlosigkeit in Sachen Schutz der Menschenrechte rühmen.|Result: it is unlikely that the west can , at last , boast with the right of its <unk> in terms of protecting human rights . <eos>|Target: It is quite likely that they will not. The West will then finally be able to boast about its selfless protection of human rights.
Source: Wenn ihnen dies nicht die Scharīʿa-Vertreter verderben.|Result: if you do not ruin the <unk> . <eos>|Target: Unless the followers of the Sharia law put a stop to that.
Source: Beginn einer neuen Krisen-Ära|Result: the start of a new <unk> <eos>|Target: New Era of Crisis Commences
Source: Frankreich und der Rest Europas im Fokus der Investoren.|Result: france and the rest of europe focus on investors . <eos>|Target: France and the rest of Europe are now in the investors" spotlight.
Source: Am Dienstag brauste ein statistisches Sturmtief durch Europa.|Result: on tuesday , a european statistical information network was launched . <eos>|Target: A statistical storm blew over Europe on Tuesday.
Source: Die einzelnen Staaten veröffentlichten ihre Angaben über ihr BIP für das 3. Quartal.|Result: the individual states published their data on their gdp for the third quarter . <eos>|Target: Individual countries released their 3Q GDP data.
Source: Die tschechische Wirtschaft stagnierte im Vergleich zum Vorquartal, Deutschland und Frankreich legen zu.|Result: the czech economy <unk> compared to the prior quarter , germany and france . <eos>|Target: Between quarters, the Czech economy stagnated; Germany and France are growing.
Source: Der Obligationenmarkt reißt heute aber sämtliche Rekorde.|Result: today , however , the <unk> <unk> all records . <eos>|Target: Yet the debit market is breaking records today.
Source: Die Investoren behalten nicht nur Griechenland, sondern inzwischen auch Spanien, Frankreich, Österreich und andere Länder im Auge.|Result: investors do not only keep greece in mind , but also spain , france , austria and other countries . <eos>|Target: Investors are no longer looking at only Italy; they now focus on Spain, France, Austria, and others.
Source: Die statistischen Ämter der Europazone, Deutschlands, Tschechiens und einiger weiterer europäische Länder veröffentlichten ihre vorläufigen Prognosen über die wirtschaftliche Entwicklung im dritten Quartal.|Result: the statistical office of the <unk> , germany , the czech republic and some other european countries published their preliminary forecasts of economic development in the third quarter . <eos>|Target: Eurozone statistical offices in Germany, Czech Republic, and some other countries, released their preliminary estimates of economic development in the third quarter.
Source: Das BIP Deutschlands wuchs erwartungsgemäß um 0,5%, das von Frankreich um 0,4%.|Result: germany 's gdp grew by 0.5 % , as expected , by 0.4 % from france . <eos>|Target: Germany's GDP has grown by the expected 0.5%; and France's by 0.4%.
Source: Beide Länder korrigierten gleichzeitig ihre Daten für das zweite Quartal, in dem Deutschland ein höheres Wachstum verzeichnete, als ursprünglich erwartet worden war (Wachstum um 0,3% statt vorausgesagten 0,1%), während Frankreich einen leichten Rückgang um 0,1% einräumte (ursprüngliche Angaben sprachen nur von Stagnation).|Result: both countries simultaneously <unk> their data for the second quarter , in which germany recorded higher growth than was initially expected ( growth by 0.3 % instead of <unk> 0.1 % ) , while france admitted a slight decrease of 0.1 % ( original data only spoke of stagnation ) . <eos>|Target: Both countries also adjusted their second quarter data, where Germany did better than expected (a 0.3% increase instead of the original 0.1%). France reported a slight decrease, by 0.1% (the original information suggested stagnation).
Source: Die tschechische Wirtschaft wuchs im diesjährigen dritten Quartal im Vergleich zum Vorjahr um 1,5 Prozent.|Result: the czech economy grew by 1.5 % in this year 's third quarter compared to the previous year . <eos>|Target: In this year's third quarter, the Czech economy showed an interim increase of 1.5%.
Source: Im Vergleich zum Vorquartal stagnierte das Bruttoinlandsprodukt jedoch und laut Tsch. Statistischem Amt bestätigte sich so der Trend der Wachstumsverlangsamung der wirtschaftlichen Leistungsfähigkeit.|Result: in contrast to the prior quarter , however , gross domestic product and according to the <unk> office confirmed the trend of economic performance . <eos>|Target: Between the quarters though, the GDP stagnated. According to the Czech Statistical Office, this confirmed the trend of a gradual slowing of economic growth.
Source: Die Resultate sind also schlechter als die Prognosen der Analytiker.|Result: so the results are worse than the analysts ’ forecasts . <eos>|Target: The results are worse than estimates by analysts.
Source: Die wichtigsten Ereignisse:|Result: the most important events : <eos>|Target: Key events:
Source: Die tschechische Wirtschaft wuchs im diesjährigen dritten Quartal im Vergleich zum Vorjahr um 1,5 Prozent, im Vergleich zum vorangegangenen Quartal stagnierte sie jedoch.|Result: the czech economy grew by 1.5 % in this year 's third quarter compared to the previous year , but compared to the previous quarter , it increased . <eos>|Target: In this year's third quarter, Czech economy showed an interim increase of 1.5%; however, it stagnated between the quarters.
Source: Vorläufigen und saisonal überrechneten Angaben zufolge wuchs die deutsche Wirtschaft im dritten Quartal um 0,5 Prozent.|Result: according to preliminary and seasonal data , the german economy grew by 0.5 % in the third quarter . <eos>|Target: Based on preliminary and seasonal data, in the third quarter, the German economy grew by 0.5%.
Source: In der gesamten Eurozone und in der EU verzeichnete die Wirtschaft zwischen Juli und September gegenüber dem vorangegangenen Quartal ein Wachstum um 0,2 Prozent, was mit den Erwartungen der Analytiker übereinstimmt.|Result: throughout the eurozone and the eu , the economy rose by 0.2 % from july to september , compared to the previous quarter , which is consistent with analysts ’ expectations . <eos>|Target: Between July and September, the economy of both the Eurozone and the European Union grew, compared to the previous quarter, by 0.2%, which corresponds with estimates by analysts.
Source: Die griechische Wirtschaft schrumpfte im Vergleich zum Vorjahr um 5,2 Prozent.|Result: the greek economy contracted by 5.2 % compared to the previous year . <eos>|Target: The Greek economy showed an interim decrease of 5.2%.
Source: Die Rendite aus ihren 10-jährigen Staatsanleihen erklomm den Wert von 28,45%.|Result: returns from their 10 - year government bonds <unk> the value of <unk> % . <eos>|Target: The earnings on its 10-year bonds are 28.45%.
Source: Die Rendite der italienischen und spanischen Staatsanleihen stiegen bis zu ihren kritischen Grenzen.|Result: the return of italian and spanish government bonds rose to their critical limits . <eos>|Target: Earnings of both Italian and Spanish bonds are growing towards critical limits.
Source: Auch Österreich, die Niederlande, Frankreich, Belgien und andere Länder beginnen, Probleme zu spüren...|Result: even austria , the netherlands , france , belgium and other countries are beginning to feel problems ... <eos>|Target: Even Austria, Netherlands, France, and Belgium, etc. are beginning to experience problems.
Source: Die Rendite bei tschechischen Staatsanleihen halten sich unter 4%, auch wenn sich die Situation in der Region verschlechtert.|Result: the return to czech government bonds is below 4 % , even if the situation in the region is deteriorating . <eos>|Target: Despite the fact that the situation in the region is getting worse, earnings of Czech 1 - year bonds stay under 4%.
Source: In Deutschland werden Stimmen laut, die EZB solle zum Gläubiger der letzten Instanz werden.|Result: in germany , the ecb should become the lender of the last resort . <eos> <eos>|Target: Voices are coming from Germany, suggesting that ECB be the last resort creditor.
Source: Die Tschechen qualifizierten sich für EURO|Result: the czechs qualified for euro <eos>|Target: Czechs qualified for EURO.
Source: In Montenegro gewannen sie 1:0 und feiern nun ihre Qualifikation für 200 Millionen|Result: in montenegro they won <unk> and celebrate their qualification for 200 million . <eos>|Target: In Montenegro they won 1:0 and celebrate a 200 million windfall.
Source: Die Fußballauswahl hat die schwerste Aufgabe der ganzen Saison gemeistert!|Result: the <unk> has mastered the most serious task of the whole season ! <eos>|Target: Football representation successfully managed the toughest task of the season!
Source: Dank eines gut aufgelegten Torwarts Čech und eines herrlichen Tors von Petr Jiráček gewann sie in Montenegro 1:0.|Result: thanks to a well - known <unk> <unk> and a magnificent <unk> by peter <unk> , she won in montenegro <unk> . <eos>|Target: Thanks to both the great Čech and beautiful goal of Petr Jiráček ,they won 1:0.
Source: Mit einer großen Portion Glück konnte der tschechische Fußball so seinen luxuriösen Vorsprung vom Heimspiel verteidigen und wird wieder einmal nicht bei der Europameisterschaft fehlen.|Result: with a great deal of happiness , czech football has been able to defend its luxury lead from the <unk> and will not miss the european championship again . <eos>|Target: In the second half, Czech football was lucky to maintain its luxury lead from the home return match, and will again feature at the European Championship.
Source: IHNED.cz verfolgte das Aufstiegsspiel in einer ausführlichen Reportage.|Result: <unk> followed the <unk> in a detailed report . <eos>|Target: IHNED.cz watched the progress match in a detailed report.
Source: Wenig Aufregung in der ersten Halbzeit und eine Riesenportion Glück in der zweiten.|Result: little excitement in the first half and a <unk> happiness in the second . <eos>|Target: Nearly no excitement in the first half, and a great portion of luck in the other.
Source: Die tschechische Auswahl siegte auch dank der Abschlussschwäche der Heimmannschaft, eines brillanten Čech's und des Held des Tages Jiráček in Montenegro recht glücklich 1:0 und hat somit ihr Ticket für die Fußball-EM eingelöst.|Result: the czech selection won a very happy match thanks to the <unk> of the <unk> , a brilliant <unk> and the hero of the day <unk> in montenegro , and thus won your ticket for the <unk> . <eos>|Target: Czech representation team, partially due to the home team's failure in the close; the great Čech; and heroic Jiráček; won 1:0 in Montenegro, and celebrates moving on to the European Championship.
Source: Auch wegen des präzisen Verteidigungsspiels der tschechischen Mannschaftkonnten sie die Montenegriner erst in der zweiten Halbzeit mehr unter Druck setzen.|Result: also , because of the precise <unk> of the czech <unk> , you can put more pressure on the <unk> only in the second half . <eos>|Target: Perfect Czech team defence only allowed the Montenegro team to threaten in the second half.
Source: Die Pechvögel der Partie waren Damjanovic und Vucinic, die zwei Riesenchancen verschossen.|Result: the <unk> of the game were <unk> and <unk> , which <unk> two <unk> . <eos>|Target: Damjanovic and Vucinic became the match's least lucky couple after losing two great opportunities.
Source: Auch dank eines hervorragenden Petr Čech wird die tschechische Auswahl also nächstes Jahr bei den Europameisterschaften mitmischen, erfreulich ist auch, dass dem heimischen Fußball eine Prämie in Höhe von ca. 200 Millionen zufließt.|Result: also thanks to an excellent peter <unk> , the czech selection will take place next year at the <unk> <unk> , it is also gratifying that the domestic football receives a premium of about 200 million <unk> . <eos>|Target: The wonderful Petr Čech is one of the reasons the Czech representation team will not miss the next year's European Championship. And Czech football will thus gain nearly 200 million Czech Crowns.
Source: Von den ersten Minuten an wurde recht kämpferischer Fußball gespielt.|Result: from the first minutes , quite <unk> football was played . <eos>|Target: From the opening minutes, the game was very pugnacious.
Source: Beide Mannschaften kombinierten langwierig und so wurde vor allem um die Mittellinie gespielt.|Result: both teams combined long - term and thus were played primarily by the <unk> . <eos>|Target: Both teams found it difficult to join in the combination; the game remained around the mid-field line most of the time.
Source: Auch in der zweiten Halbzeit blieb der Druck der Heimmannschaft aus und die weiten Abschläge vor den Strafraum wurden von der tschechischen Abwehr erfolgreich abgewehrt.|Result: in the second half of the year , the pressure of the <unk> was also reduced and the wide <unk> before the <unk> were successfully <unk> by the czech defense . <eos>|Target: That was also why there was no pressure from the home team in the first half. Long kicks behind the defence were neatly averted by the Czech defence.
Source: Iranische Studenten sind bereit, für das Kernprogramm ihres Landes zu sterben.|Result: iranian students are prepared to die for their country ’s <unk> . <eos>|Target: Iranian Students Are Prepared to Die for Their Country's Nuclear Program
Source: Sie bildeten einen lebenden Schild.|Result: they formed a living shield . <eos>|Target: They created a live shield.
Source: Einige Hundert Hochschulstudenten bildeten einen lebenden Schild rund herum um ein Kernobjekt im Iran.|Result: a few hundred <unk> formed a living shield around a <unk> in iran . <eos>|Target: Several hundred university students created a live chain around the nuclear power plant in Iran.
Source: Mit dieser Geste wollten sie ihre Unterstützung für das Kernprogramm ihres Landes vor einem möglichen israelischen Angriff demonstrieren.|Result: with this gesture , you wanted to demonstrate your support for your country 's <unk> before a possible israeli attack . <eos>|Target: The gesture is to express their support of their country's nuclear program against a possible Israel attack.
Source: Die Studenten hatten Dienstag Mittag vor dem Objekt gebetet und anschließend den USA und Israel den Tod verkündet.|Result: the students had prayed at noon before the object and then announced the death of the united states and israel . <eos>|Target: At Tuesday noon, students' prayers in front of the building were followed by their chanting of death to both the USA and Israel.
Source: Ein paar Hundert Studenten der Universität im iranischen Isfahan bildeten am Dienstag einen lebendigen Schild rund herum um das Kerntechnologiezentrum in Isfahan, in dem Uran verarbeitet wird.|Result: a few hundred students from the university of iran were formed on tuesday a lively shield around the <unk> in <unk> , where uranium is processed . <eos>|Target: In Isfahan, Iran, several hundred university students created a live chain around Isfahan Uranium Conversion Facility.
Source: Damit wollten sie kund tun, dass sie bereit sind, das Kernprogramm ihres Landes, wenn nötig auch mit ihrem eigenen Leben zu schützen.|Result: in this way , they wanted to make it clear that they are prepared to protect their country 's <unk> , if necessary , with their own lives . <eos>|Target: This way, they express their readiness to protect their country's nuclear program with their own lives.
Source: Die Internationale Atomenergie-Agentur (IAEA) stellte unlängst in ihrem Bericht fest, der Iran habe allem Anschein nach seine Bemühungen um eine Kernwaffe längst nicht aufgegeben.|Result: the international atomic energy agency ( iaea ) recently stated in its report that iran seems to have not abandoned its efforts for a nuclear weapon . <eos>|Target: In its recent report, the International Atomic Energy Agency (IAEA) stated that everything leads to the conclusion that Iran has not stopped striving for a nuclear weapon.
Source: Auch in Israel spricht über einen möglichen Angriff auf iranische Kernanlagen.|Result: in israel , too , there is talk about a possible attack on iran ’s nuclear weapons . <eos>|Target: Possible attack on Iran nuclear facilities has been discussed in Israel.
Source: Studenten hatten am Mittag vor dem Eingang zum Komplex gebetet und anschließend den USA und Israel den Tod verkündet.|Result: students had prayed to the complex at noon , and then announced death to the us and israel . <eos>|Target: At Tuesday noon, students' prayers in front of the entrance into Isfahan Uranium Conversion Facility were followed by their chanting of death to both the USA and Israel.
Source: Im Falle eines in der Absicht geführten Angriffs, das iranische Atomprogramm weitestgehend lahm zu legen, wäre der israelischen Presse zufolge aus dem Zentrum in Isfahan auch die Atomanreicherungsanlage in Natans Angriffsziel.|Result: in the event of an attack that is intended to put the iranian nuclear programme to a large extent at a standstill , the israeli press would be , according to the center of <unk> , the <unk> in <unk> . <eos>|Target: In case of an attack, aimed at the highest possible paralysation of the Iranian nuclear program, the targets would be, based on Israel press, the facilities in both Isfahan and Natanz, where the uranium is being enriched.
Source: Die Speisekarte eines fettsüchtigen Kindes: Es frühstückt nicht und isst zum Abendbrot Wurst|Result: the menu of an <unk> child : it does not eat and eat to the <unk> sausage . <eos>|Target: An Obese Child's Diet: No breakfast and sausage for dinner
Source: Mehr als ein Drittel der Kinder von 9 bis 13 haben Probleme mit Übergewicht, wobei 9 Prozent aller Schüler und 5 Prozent aller Kinder übergewichtig sind.|Result: more than a third of children from 9 to 13 have problems with obesity , with 9 % of all pupils and 5 % of all children overweight . <eos>|Target: Over a third of children between 9 and 13 are overweight; while 9% of schoolchildren are overweight, 5% are obese.
Source: Aktuelle Umfragen erwiesen - adipöse Kinder stammen meistens aus Familien mit ungesundem Lebensstil.|Result: recent surveys have shown - <unk> children are mostly from families with <unk> lifestyle . <eos>|Target: As a recent research shows, obese children usually come from families with unhealthy lifestyle.
Source: So zeigt sich wieder einmal, wie wichtig für die gesunde Entwicklung eines Menschen das Milieu ist, in dem er aufwächst und die Beispiele sind, die ihn umgeben.|Result: this shows once again how important it is for the healthy development of a man to be the environment in which he <unk> and the examples surrounding him . <eos>|Target: Again, we can see the importance of the environment and models surrounding a human being for his or her healthy development.
Source: Auf den Tischen adipöser Kinder stehen Wurstwaren bis zur Hälfte häufiger auf dem Tisch, als in Familien, in denen normalgewichtige Kinder leben.|Result: on the tables , <unk> children are half more common on the table than in families where <unk> children live . <eos>|Target: For example, sausages occur up to half more frequently on the tables of obese children compared to the families of children with standard weight.
Source: Mehr als 19 Prozent der übergewichtigen Kinder hatten am Vortag der Aufklärungsaktion unter dem Motto "Adipositas ist kein Zufall" Pommes zum Abendbrot.|Result: more than 19 % of the <unk> children had a drink on the previous day , under the motto " obesity is no accident " . <eos>|Target: Over 19% of obese children had fried chips for dinner the day before the research connected to the educational event called Obesity is No Accident.
Source: In Familien mit Dickerchen zählt auch Sport nicht gerade zu den Lieblingsbeschäftigungen, was allerdings auch die Mehrheit der heutigen Schülern betrifft - nur 15 Prozent antwortete, dass sich ihre Eltern wenigsten einmal in der Woche Zeit für aktive Bewegung finden.|Result: in families with <unk> , sport is not just one of the main beneficiaries , but also the majority of today 's students - only 15 % replied that their parents will find time for active movement once a week . <eos>|Target: Moreover, the families of obese children do not practise sports. However, this concerns a majority of families of current schoolchildren - only 15% of the children said their parents find time for sports activities at least once a week.
Source: Umfrage unter 900 Kindern|Result: survey of 900 children <eos>|Target: The research was performed among 900 children.
Source: Die Umfrage fand vergangenes Jahr gegen Ende des Schuljahrs statt, dabei wurden nahezu 900 Kinder aus Grundschulen in ganz Tschechien befragt.|Result: the survey took place last year at the end of the <unk> , with almost 900 children from primary schools in the czech republic being questioned . <eos>|Target: The research took place at the end of last year's school year; it included almost 900 elementary school children from throughout Bohemia.
Source: Das war schon der zweite Jahrgang der Aktion "Adipositas ist kein Zufall", die von der Allgemeinen Krankenkasse und der Gesellschaft Unilever unterstützt wird.|Result: this was the second year of the action " obesity is no accident " , supported by the general health insurance and the company unilever . <eos>|Target: It was the second year of the Obesity is No Accident event supported by both Všeobecná zdravotní pojišťovna insurance company and Unilever.
Source: Bisher nahmen an dem Projekt mehr als 12 Tausend Schüler aus 4. und 8. Klassen teil.|Result: until now , more than 12 thousand students from 4 and 8 classes took part in the project . <eos>|Target: So far, the project has been joined by over 12 thousand school children from 4th to 8th grades.
Source: Ungesunde Kost und fehlende Bewegung in der Familie sind dabei entscheidende Faktoren, die für die erschreckend steigende Anzahl von Kindern mit Übergewicht oder sogar Fettsucht verantwortlich sind.|Result: unhealthy diet and lack of movement in the family are key factors that are responsible for the appalling rising number of children with obesity or even <unk> . <eos>|Target: Proper diet and sufficient sports activities represent key defining factors causing dramatically growing number of children who are either overweight or obese.
Source: "Nur die Hälfte der befragten Kinder führte zum Beispiel an, fünfmal am Tag, im Modus Frühstück-zweites Frühstück-Mittagessen-Vesper-Abendbrot zu essen - eine der Hauptvoraussetzungen für eine gesunde Ernährung", so lautet eines der Umfrageergebnisse.|Result: " only half of the children surveyed led , for example , to eat five times a day in the mode of <unk> <unk> - one of the main ingredients for a healthy diet , " is one of the <unk> . <eos>|Target: "For example, only half of those inquired said they have five meals a day, in the breakfast-snack-lunch-snack-dinner pattern, one of the basic preconditions of correct diet," one of the results of the research says.
Source: Kein Frühstück und Wurst zum Abendbrot|Result: the staff were very friendly and helpful . <eos>|Target: No lunch and sausage in the evening
Source: Experten verweisen darauf, dass auch relative Kleinigkeiten, wie zum Beispiel auch die regelmäßige Frühstückszeit der Familie, wichtig für die gesunde Entwicklung eines Kindes sind.|Result: experts point out that relative minor details , such as regular family <unk> , are also important for the healthy development of a child . <eos>|Target: Experts warn that even relative details are crucial for healthy development; such as a regular time of family breakfast.
Source: In Tschechien frühstücken aber nur 23 Prozent der Familien der Schüler.|Result: in the czech republic , however , only 23 % of students ' families have breakfast . <eos>|Target: In the Czech Republic, only 23% of schoolchildren's families have breakfast together.
Source: Und - in den meisten Familien frühstückt jeder für sich allein.|Result: and - in most families , everyone <unk> for themselves . <eos>|Target: In a majority of families, everyone has breakfast separately.
Source: Am schlimmsten war die Feststellung, das in jeder zehnten Familie überhaupt nicht gefrühstückt wird.|Result: the worst thing was the observation that is not being <unk> in every tenth family . <eos>|Target: The worst discovery was the fact that in one tenth of households people do not have breakfast at all.
Source: Das Frühstück gilt dabei als Grundstein der gesunden tagtäglichen Ernährung.|Result: breakfast is a cornerstone of healthy daily diet . <eos>|Target: Yet breakfast is the core of proper daily diet.
Source: Der Umfragetest brachte unter anderem an den Tag, dass man in den Familien übergewichtiger Kinder viel öfter ungesunde Pommes konsumiert.|Result: among other things , the <unk> has brought about the day that children living in the families are consumed much more often with unhealthy fries . <eos>|Target: A survey has shown that fries are consumed more often in the families of obese children.
Source: Und fast jeder - ohne Rücksicht aufs Gewicht - trinkt jeden Tag süße Limonaden (70 Prozent)|Result: and almost everyone - without any consideration - drink sweet <unk> ( 70 % ) every day . <eos>|Target: Nearly everyone - regardless of their weight - drinks sweet soft drinks every day (70%).
Source: Zwar treiben mehr als 40 Prozent der befragten Kinder Sport, aber nur weniger als die Hälfte ihrer Eltern tun das - nämlich nur 15 Prozent.|Result: while more than 40 % of the children surveyed are driving sport , only less than half of their parents do so - just 15 % . <eos>|Target: Though over 40% of children do sports regularly, the number drops down to less than a half - 15% - when it comes to their parents.
Source: Stell dir dein eigenes Menü zusammen|Result: imagine your own menu . <eos>|Target: Compose your own menu
Source: Ein weiterer Teil der Umfrage ermöglichte es ausgewählten Kindern (204 Jungen und 172 Mädchen aus 13 Schulen), sich aus angebotenen Möglichkeiten nach Appetit und Meinung ihren eigenen Speiseplan zusammenzustellen.|Result: a further part of the survey allowed selected children ( 204 young and 172 girls from 13 schools ) to prepare themselves for appetite and opinion on their own <unk> . <eos>|Target: Another part of the survey allowed selected children (204 boys and 172 girls from 13 schools) to compose their own menu based on selection offered and their taste and opinions.
